scenario,method,fuzzy_consensus_latency_seconds,deterministic_simulation_latency_seconds
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,mean,0.04676880897022784,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,median,0.050861480995081365,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,trimmed_mean,0.05368271307088435,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,hampel_filter_then_mean,0.05888443998992443,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,direct_owa,0.05478590994607657,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,fpr_owa,0.08868749300017953,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_deterministic_policy_only,0.0,2.304802183061838e-05
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_without_verifier,0.0,6.996499234926887
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier,0.0,7.58073741896078
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier_and_self_refinement,0.0,7.461595035973005
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_deterministic_policy_only,0.0,1.441489439457655e-05
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_without_verifier,0.0,7.123129838029854
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier,0.0,7.850036785937846
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier_and_self_refinement,0.0,16.76450179796666
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_deterministic_policy_only,0.0,1.1572032235562801e-05
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_without_verifier,0.0,7.0852116600144655
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier,0.0,7.88936388597358
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier_and_self_refinement,0.0,23.7573042770382
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_deterministic_policy_only,0.0,9.951065294444561e-06
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_without_verifier,0.0,7.387000198941678
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier,0.0,7.896106390981004
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,agent_react_with_verifier_and_self_refinement,0.0,32.38204934110399
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,mean,0.049083949998021126,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,median,0.051517373067326844,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,trimmed_mean,0.06333766202442348,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,hampel_filter_then_mean,0.06275794398970902,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,direct_owa,0.05463040596805513,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,fpr_owa,0.08909154904540628,0.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_deterministic_policy_only,0.0,1.9091996364295483e-05
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_without_verifier,0.0,7.630379752954468
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_with_verifier,0.0,8.393100855057128
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_with_verifier_and_self_refinement,0.0,7.555521061993204
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_deterministic_policy_only,0.0,1.0585994459688663e-05
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_without_verifier,0.0,7.585272689000703
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_with_verifier,0.0,8.100473189959303
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_with_verifier_and_self_refinement,0.0,16.232888496946543
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_deterministic_policy_only,0.0,1.0485993698239326e-05
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_without_verifier,0.0,7.316562839085236
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,agent_react_with_verifier,0.0,7.6253035109257326
