scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,11,bias,0.0,0.1,5,0.3,0.8,mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,11,bias,0.0,0.1,5,0.3,0.8,median,1.7673256905451846,1.8371138002398903,1.6257774414644506,2.4686495199857634,2.570343816486414,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,11,bias,0.0,0.1,5,0.3,0.8,trimmed_mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,11,bias,0.0,0.1,5,0.3,0.8,hampel_filter_then_mean,1.7662357472435555,1.828676071537772,1.611478435724758,2.477834350996723,2.585322747593403,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,11,bias,0.0,0.1,5,0.3,0.8,direct_owa,1.808097634625509,1.86474236210751,1.6416957551136782,2.461177039407407,2.54604539209783,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p3_b0p8,11,bias,0.0,0.1,5,0.3,0.8,fpr_owa,1.774467932880156,1.850312605071101,1.6740220907729897,2.4860800781287797,2.5953096084478187,0.6625,0.5470292178736167
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,11,bias,0.0,0.1,5,0.2,0.7,mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,11,bias,0.0,0.1,5,0.2,0.7,median,1.7673256905451846,1.8371138002398903,1.6257774414644506,2.4686495199857634,2.570343816486414,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,11,bias,0.0,0.1,5,0.2,0.7,trimmed_mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,11,bias,0.0,0.1,5,0.2,0.7,hampel_filter_then_mean,1.7662357472435555,1.828676071537772,1.611478435724758,2.477834350996723,2.585322747593403,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,11,bias,0.0,0.1,5,0.2,0.7,direct_owa,1.715232666678457,1.7794846871284076,1.523632719657555,2.422889000521728,2.5052409985545907,0.0,1.0
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,11,bias,0.0,0.1,5,0.2,0.7,fpr_owa,1.7641788435487618,1.8344957748451298,1.6378153881221,2.480498620302904,2.6055396765231316,0.6625,0.5470292178736167
full_seed11_bias_0p0_noise0p1_s9_a0p3_b0p8,11,bias,0.0,0.1,9,0.3,0.8,mean,1.5447601069250472,1.589017388757161,1.4143808752238838,2.083882036758208,2.1471655287298854,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p3_b0p8,11,bias,0.0,0.1,9,0.3,0.8,median,1.6808698727004379,1.75996147967401,1.516865249289272,2.4353503923926723,2.5488072276365266,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p3_b0p8,11,bias,0.0,0.1,9,0.3,0.8,trimmed_mean,1.5447601069250472,1.589017388757161,1.414380875223884,2.083882036758208,2.1471655287298854,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p3_b0p8,11,bias,0.0,0.1,9,0.3,0.8,hampel_filter_then_mean,1.6865665871027793,1.7593865744878394,1.4804014063263056,2.4303494626265807,2.5712445250121503,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p3_b0p8,11,bias,0.0,0.1,9,0.3,0.8,direct_owa,1.7521174286886796,1.8113647820491636,1.5911291854606469,2.410299282372827,2.5019386765377964,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p3_b0p8,11,bias,0.0,0.1,9,0.3,0.8,fpr_owa,1.7391030676721657,1.8148932617376512,1.576794331174129,2.4696643260282585,2.5362443408446937,1.3625,0.5211014965899451
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,11,bias,0.0,0.1,9,0.2,0.7,mean,1.5447601069250472,1.589017388757161,1.4143808752238838,2.083882036758208,2.1471655287298854,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,11,bias,0.0,0.1,9,0.2,0.7,median,1.6808698727004379,1.75996147967401,1.516865249289272,2.4353503923926723,2.5488072276365266,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,11,bias,0.0,0.1,9,0.2,0.7,trimmed_mean,1.5447601069250472,1.589017388757161,1.414380875223884,2.083882036758208,2.1471655287298854,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,11,bias,0.0,0.1,9,0.2,0.7,hampel_filter_then_mean,1.6865665871027793,1.7593865744878394,1.4804014063263056,2.4303494626265807,2.5712445250121503,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,11,bias,0.0,0.1,9,0.2,0.7,direct_owa,1.6138968907956373,1.6810792602665585,1.4297592038208027,2.3304801498507355,2.3795551425777455,0.0,1.0
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,11,bias,0.0,0.1,9,0.2,0.7,fpr_owa,1.76382617176232,1.8187908513604338,1.646441406201646,2.403961893301196,2.5748263578710615,1.3625,0.5211014965899451
full_seed11_bias_0p0_noise0p1_s13_a0p3_b0p8,11,bias,0.0,0.1,13,0.3,0.8,mean,1.071117112921239,1.1016593826327645,0.9867493279756041,1.4535368437081042,1.478889156134422,0.0,1.0
full_seed11_bias_0p0_noise0p1_s13_a0p3_b0p8,11,bias,0.0,0.1,13,0.3,0.8,median,1.3719328794495598,1.4483596196285664,1.2004388128623185,2.2124203440738994,2.3091351623744307,0.0,1.0
full_seed11_bias_0p0_noise0p1_s13_a0p3_b0p8,11,bias,0.0,0.1,13,0.3,0.8,trimmed_mean,1.079061638201236,1.113640996409765,0.9773068641150069,1.4936806339230324,1.5331219869752575,0.0,1.0
full_seed11_bias_0p0_noise0p1_s13_a0p3_b0p8,11,bias,0.0,0.1,13,0.3,0.8,hampel_filter_then_mean,1.152432692438119,1.23042198120444,0.988966729262392,2.3225179569353895,2.412295664178581,0.0,1.0
full_seed11_bias_0p0_noise0p1_s13_a0p3_b0p8,11,bias,0.0,0.1,13,0.3,0.8,direct_owa,1.3170614992000418,1.3700213923172018,1.1587730666914062,1.8799975771277413,1.983098442650765,0.0,1.0
