attack_type,attack_ratio,method,seed,sensor_noise_level,sensors_per_group,alpha,beta,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
bias,0.0,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5167091613174692,1.5749709733340298,1.4031908249644205,2.177884505999744,2.378718829485556,0.0,1.0
bias,0.0,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.606579391609211,1.6801997503496158,1.5368600265228805,2.3405933502544753,2.572021618562354,1.0239197530864197,0.5346690363491322
bias,0.0,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5055047030231845,1.5696630017338307,1.3856518620044596,2.261319333582599,2.5928041467653817,0.0,1.0
bias,0.0,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4444259462255238,1.4908385851158745,1.3474679840612556,2.0223981102851605,2.1983511484575198,0.0,1.0
bias,0.0,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5784847036315741,1.6514589038501226,1.4703870162085872,2.347073763943246,2.601161626559418,0.0,1.0
bias,0.0,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4512606355045279,1.4986154617188123,1.3512922027579792,2.0359384359448196,2.22432909837423,0.0,1.0
bias,0.1,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5343113438073335,1.592866636008144,1.4319047483022673,2.203781269475443,2.4061219661039726,0.0,1.0
bias,0.1,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5732801998492087,1.6421062345067268,1.5137375823850177,2.3058323542562515,2.5348229383981473,1.206327160493827,0.5291523320071029
bias,0.1,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5034588138878462,1.5687247682703125,1.3868323825817725,2.278901496773678,2.600231178635332,0.0,1.0
bias,0.1,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.544710846510424,1.6007619285461117,1.4947475513122919,2.239857353554015,2.436098357411427,0.0,1.0
bias,0.1,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5934891601357657,1.6668468692722536,1.495161282214897,2.370503456897822,2.6266139731245506,0.0,1.0
bias,0.1,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5183567882422224,1.5716264059508778,1.4545676575652904,2.178292401461824,2.38484814023995,0.0,1.0
bias,0.2,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6093732556043787,1.6732064282275942,1.5560982701071393,2.3539412845715098,2.588136652183558,0.0,1.0
bias,0.2,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4834699087963028,1.558399658714268,1.392850307922423,2.2915513630979873,2.6072288646903825,1.3449074074074074,0.5270009990975616
bias,0.2,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5966568801106236,1.6840375842855246,1.4725922659325779,2.470366697602044,2.8456579366778474,0.0,1.0
bias,0.2,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7926880544876322,1.8964808583831896,1.7694299372831974,2.8387682523551216,3.0445698362945537,0.0,1.0
