scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,reliability_only,1.3566693228489342,1.4473501133104298,1.1687295407926903,2.2703812962148056,2.4861407824866277,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,fpr_dominance_only,1.3592229424579338,1.4292598970010617,1.2206143902585826,2.0115558171156267,2.131281367849576,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,owa_only,0.9476054384505705,0.992133894324799,0.8361668639840273,1.4147061349008307,1.5276402422312012,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,full_fpr_owa,1.2005996835464345,1.2492934636752335,1.1936329513941824,1.6485568056889095,1.7438379620698026,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,reliability_only,1.3566693228489342,1.4473501133104298,1.1687295407926903,2.2703812962148056,2.4861407824866277,0.8
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,fpr_dominance_only,1.3592229424579338,1.4292598970010617,1.2206143902585826,2.0115558171156267,2.131281367849576,0.8
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,owa_only,1.3151691509325636,1.368759811916008,1.1618818504302788,1.9085657370618925,2.01036790372859,0.8
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,full_fpr_owa,1.459851850307026,1.5405262522493737,1.4105131735776282,2.0889440810659385,2.241185361713773,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,reliability_only,1.7539392052179232,1.8262664942641995,1.6385985432286017,2.4779077474204763,2.5530687577937528,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,fpr_dominance_only,1.7534228840502477,1.825813066095832,1.6504793888359797,2.4685885144062154,2.5584466614210184,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,owa_only,1.7015608774274116,1.7663122296451002,1.5292862320756608,2.4220058568740526,2.5323365730921896,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,full_fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,reliability_only,1.7539392052179232,1.8262664942641995,1.6385985432286017,2.4779077474204763,2.5530687577937528,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,fpr_dominance_only,1.7534228840502477,1.825813066095832,1.6504793888359797,2.4685885144062154,2.5584466614210184,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,owa_only,1.7956821320291083,1.8525679823421848,1.6470305560287364,2.453034888795839,2.558084720691984,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,full_fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,reliability_only,1.7044426800522947,1.780172316127082,1.5421062066635098,2.4533647849903706,2.625498694458282,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,fpr_dominance_only,1.6917099907969964,1.7617187587418996,1.559685201638772,2.3906067936676,2.514116860080208,0.7
