scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,1.1708333333333334,0.0,0.5009746071492321,0.22083333333333333
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,1.0416666666666667,0.8958333333333334,0.7776838277844688,0.04583333333333333
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,1.3541666666666667,0.45,0.7049341736405818,0.39166666666666666
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,1.7875,0.0,0.5126042265131526,1.2541666666666667
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,1.1125,0.7458333333333333,0.7503294699997307,0.12083333333333333
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,1.6,0.5583333333333333,0.720335575477289,0.8041666666666667
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,2.2,0.13333333333333333,0.572015083673296,3.7916666666666665
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,1.4958333333333333,0.6625,0.7267993370233424,0.6083333333333333
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,1.9208333333333334,0.5875,0.7051118788756499,1.7791666666666666
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,1.5333333333333334,0.0,0.4980172685526906,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,1.0416666666666667,0.8958333333333334,0.7776838277844688,0.04583333333333333
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,1.5958333333333334,0.4625,0.7088678211465381,0.8458333333333333
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,1.8791666666666667,0.0,0.5092394752925078,1.6875
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,1.1125,0.7458333333333333,0.7503294699997307,0.12083333333333333
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,1.7416666666666667,0.5916666666666667,0.7233679835655411,1.2666666666666666
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,2.175,0.14583333333333334,0.5712183696528024,4.2
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,1.4958333333333333,0.6625,0.7267993370233424,0.6083333333333333
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,1.9375,0.6125,0.7142206959326959,2.2625
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,1.6791666666666667,0.0125,0.4875114357546322,1.5125
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,1.4333333333333333,0.8958333333333334,0.7802880536469772,0.4708333333333333
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,1.7208333333333334,0.4166666666666667,0.6896198877415249,1.1833333333333333
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,2.1,0.008333333333333333,0.4946125330395325,2.558333333333333
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,1.4583333333333333,0.7625,0.7556825247921796,0.5541666666666667
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,1.8916666666666666,0.575,0.7179249941087522,1.7041666666666666
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,2.254166666666667,0.14166666666666666,0.543179386648944,5.020833333333333
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,1.65,0.6333333333333333,0.7069894996490718,0.8625
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,2.0083333333333333,0.625,0.7099125169624434,2.7
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,1.7458333333333333,0.016666666666666666,0.485602221864104,1.7791666666666666
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,1.3375,0.6916666666666667,0.6688058096932908,0.4708333333333333
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,1.7666666666666666,0.3416666666666667,0.6442257883327268,1.4291666666666667
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,2.1,0.004166666666666667,0.4742726267992502,2.8125
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,1.4291666666666667,0.5541666666666667,0.6390730750493963,0.5958333333333333
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,1.8916666666666666,0.4666666666666667,0.6621984723775013,1.8833333333333333
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,2.3125,0.10833333333333334,0.5235619061986548,5.3
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,1.5291666666666666,0.4708333333333333,0.5836315139576845,0.725
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,2.0458333333333334,0.525,0.647702186664029,2.7916666666666665
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,1.7541666666666667,0.0375,0.4829027697808239,1.8666666666666667
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,1.3375,0.6916666666666667,0.6688058096932908,0.4708333333333333
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,1.7541666666666667,0.3,0.5929502015393912,1.4958333333333333
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,2.066666666666667,0.0125,0.4691838236057746,2.816666666666667
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,1.4291666666666667,0.5541666666666667,0.6390730750493963,0.5958333333333333
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,1.8958333333333333,0.38333333333333336,0.6090887659247262,2.0
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,2.3,0.1125,0.5119797102793187,5.270833333333333
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,1.5291666666666666,0.4708333333333333,0.5836315139576845,0.725
