seed,scenario_index,attack,intensity,condition,ticks,iae_degC_min,duration_above_sla_min,peak_excess_degC,integrated_excess_degC_min,recovered,recovery_time_min,fan_effort_normalized_min,fan_total_variation,estimator_mae_c,verifier_accepts,verifier_rejects,fallback_ticks,crp_nonconverged_ticks,crp_total_rounds,saturation_ticks,case,paired_input_sha256,safety_recovered,safety_recovery_onset_min,recovery_after_removal_min,subsequent_violation_ticks,target_return_onset_min,duration_above_sla_including_terminal_min,peak_excess_including_terminal_degC,integrated_excess_including_terminal_degC_min,terminal_temperature_c
11,0,nominal,none,oracle,240,114.67482540244137,3.0,1.0,1.9349609194047162,True,0.0,140.5,4.999999999999999,0.0,240,0,0,0,0,12,hot_start_clean,69cef42e4bdabcbe7621cae0f7046d3881919224fafa27430ffc99a7fa31a56e,True,3.0,3.0,0,80.0,3.0,1.0,1.9349609194047162,29.8460715011474
11,0,nominal,none,mean,240,122.64788276505877,3.0,1.0,1.9349609194047162,True,0.0,141.0,5.799999999999999,0.05140668135154321,240,0,0,0,0,14,hot_start_clean,69cef42e4bdabcbe7621cae0f7046d3881919224fafa27430ffc99a7fa31a56e,True,3.0,3.0,0,83.0,3.0,1.0,1.9349609194047162,29.811839911896808
11,0,nominal,none,fpr_crp,240,119.47593692799745,3.0,1.0,1.9349609194047162,True,0.0,141.5,5.3999999999999995,0.06965495553729135,240,0,0,0,240,12,hot_start_clean,69cef42e4bdabcbe7621cae0f7046d3881919224fafa27430ffc99a7fa31a56e,True,3.0,3.0,0,80.0,3.0,1.0,1.9349609194047162,29.807473620910944
11,0,nominal,none,oracle,240,114.67482540244137,3.0,1.0,1.9349609194047162,True,0.0,140.5,4.999999999999999,0.0,240,0,0,0,0,12,hot_start_common_bias,69cef42e4bdabcbe7621cae0f7046d3881919224fafa27430ffc99a7fa31a56e,True,3.0,0.0,0,80.0,3.0,1.0,1.9349609194047162,29.8460715011474
11,0,nominal,none,mean,240,243.07426255983648,63.0,1.3949304945488237,49.78435383016996,True,0.0,119.0,4.599999999999999,0.7867597117459244,240,0,0,0,0,19,hot_start_common_bias,69cef42e4bdabcbe7621cae0f7046d3881919224fafa27430ffc99a7fa31a56e,True,68.0,8.0,0,89.0,63.0,1.3949304945488237,49.78435383016996,29.81186194389013
11,0,nominal,none,fpr_crp,240,249.1704073329951,63.0,1.4685304945488156,49.96786590051076,True,0.0,119.9,4.999999999999998,0.7988952862009401,240,0,0,0,240,20,hot_start_common_bias,69cef42e4bdabcbe7621cae0f7046d3881919224fafa27430ffc99a7fa31a56e,True,68.0,8.0,0,89.0,63.0,1.4685304945488156,49.96786590051076,29.784120031701665
42,0,nominal,none,oracle,240,113.41434578561321,3.0,1.0,1.8558019544639706,True,0.0,141.0,4.599999999999999,0.0,240,0,0,0,0,13,hot_start_clean,7494bdf54a07c46742bf62156f4ac787f405a5d32d9a8acd0b3289df2f22bfb6,True,3.0,3.0,0,32.0,3.0,1.0,1.8558019544639706,29.787466488577156
42,0,nominal,none,mean,240,107.29915549938745,3.0,1.0,1.8558019544639706,True,0.0,140.8,4.799999999999999,0.05292316636112562,240,0,0,0,0,12,hot_start_clean,7494bdf54a07c46742bf62156f4ac787f405a5d32d9a8acd0b3289df2f22bfb6,True,3.0,3.0,0,32.0,3.0,1.0,1.8558019544639706,29.79735751254131
42,0,nominal,none,fpr_crp,240,116.37109840091256,3.0,1.0,1.8558019544639706,True,12.0,140.4,5.799999999999999,0.07149546435929643,240,0,0,0,240,13,hot_start_clean,7494bdf54a07c46742bf62156f4ac787f405a5d32d9a8acd0b3289df2f22bfb6,True,3.0,3.0,0,32.0,3.0,1.0,1.8558019544639706,30.155380170383985
42,0,nominal,none,oracle,240,113.41434578561321,3.0,1.0,1.8558019544639706,True,0.0,141.0,4.599999999999999,0.0,240,0,0,0,0,13,hot_start_common_bias,7494bdf54a07c46742bf62156f4ac787f405a5d32d9a8acd0b3289df2f22bfb6,True,3.0,0.0,0,32.0,3.0,1.0,1.8558019544639706,29.787466488577156
42,0,nominal,none,mean,240,238.21028664327775,60.0,1.4321189937943188,50.703834132376734,True,0.0,119.1,3.7999999999999994,0.7861546957579969,240,0,0,0,0,19,hot_start_common_bias,7494bdf54a07c46742bf62156f4ac787f405a5d32d9a8acd0b3289df2f22bfb6,True,68.0,8.0,0,87.0,60.0,1.4321189937943188,50.703834132376734,29.79735995735978
42,0,nominal,none,fpr_crp,240,233.42420548627925,60.0,1.4321189937943188,48.84962643508503,True,0.0,118.7,4.299999999999999,0.7976346186172578,239,1,1,0,240,19,hot_start_common_bias,7494bdf54a07c46742bf62156f4ac787f405a5d32d9a8acd0b3289df2f22bfb6,True,68.0,8.0,0,87.0,60.0,1.4321189937943188,48.84962643508503,29.94671252674879
101,0,nominal,none,oracle,240,106.90219578730655,3.0,1.0,1.965233850591325,True,0.0,141.0,4.299999999999999,0.0,240,0,0,0,0,13,hot_start_clean,8d5e06e57e1052101acc62008fecbfe653aee25d6940774cf03e392bedf124c6,True,3.0,3.0,0,81.0,3.0,1.0,1.965233850591325,30.057424226829472
101,0,nominal,none,mean,240,119.83549444754466,3.0,1.0,1.965233850591325,True,0.0,141.4,5.399999999999999,0.053067334866085884,240,0,0,0,0,13,hot_start_clean,8d5e06e57e1052101acc62008fecbfe653aee25d6940774cf03e392bedf124c6,True,3.0,3.0,0,82.0,3.0,1.0,1.965233850591325,29.674271015708275
101,0,nominal,none,fpr_crp,240,112.47295472603544,3.0,1.0,1.965233850591325,True,0.0,141.6,4.599999999999999,0.07576927079617524,240,0,0,0,240,13,hot_start_clean,8d5e06e57e1052101acc62008fecbfe653aee25d6940774cf03e392bedf124c6,True,3.0,3.0,0,82.0,3.0,1.0,1.965233850591325,29.669822477210236
101,0,nominal,none,oracle,240,106.90219578730655,3.0,1.0,1.965233850591325,True,0.0,141.0,4.299999999999999,0.0,240,0,0,0,0,13,hot_start_common_bias,8d5e06e57e1052101acc62008fecbfe653aee25d6940774cf03e392bedf124c6,True,3.0,0.0,0,81.0,3.0,1.0,1.965233850591325,30.057424226829472
101,0,nominal,none,mean,240,245.572418195648,61.0,1.2983265520677634,50.33640629518548,True,0.0,119.8,4.199999999999999,0.7849484491916542,240,0,0,0,0,16,hot_start_common_bias,8d5e06e57e1052101acc62008fecbfe653aee25d6940774cf03e392bedf124c6,True,68.0,8.0,0,88.0,61.0,1.2983265520677634,50.33640629518548,29.674271779307784
101,0,nominal,none,fpr_crp,240,245.43991289630125,61.0,1.383246839756012,51.40185540283841,True,0.0,120.2,4.199999999999999,0.8052920749919298,239,1,1,0,240,25,hot_start_common_bias,8d5e06e57e1052101acc62008fecbfe653aee25d6940774cf03e392bedf124c6,True,68.0,8.0,0,90.0,61.0,1.383246839756012,51.40185540283841,29.664582150773803
