seed,scenario_index,attack,intensity,condition,tick,true_temperature_c,estimate_c,estimator_error_c,ambient_c,load_c_per_step,fan_before,fan_after,executed_action,action_source,verifier_accepted,rejection_reasons,fallback,anomaly_count,confidence,predicted_candidate_next_c,predicted_maintain_next_c,next_true_temperature_c,crp_rounds,crp_converged,crp_excluded,crp_latency_seconds,runtime_step_latency_seconds,attack_active,clean_sensor_values,observed_sensor_values,effective_attack_mask,crp_persistent_flags,crp_excluded_flags,runtime_snapshot_id,runtime_proposal_id,runtime_snapshot_payload,runtime_proposal_payload
11,0,nominal,none,fpr_crp,0,33.0,33.04089371736864,0.04089371736863967,26.0,0.7,0.5,0.6,increase_fan_speed,supervisor,True,,,0,0.978278666197666,32.64962221997915,32.73762221997915,32.65780381250127,1,True,0,0.00039280951023101807,0.00021562911570072174,False,"[32.97042717378474, 33.17070159640853, 33.28563178926465, 32.88955247151169, 33.24152473298859, 32.93712786390005, 33.06094620390154, 33.16329011783533, 32.951950973804486]","[32.97042717378474, 33.17070159640853, 33.28563178926465, 32.88955247151169, 33.24152473298859, 32.93712786390005, 33.06094620390154, 33.16329011783533, 32.951950973804486]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",4177ee95409bc1986bf4e8a8c42b69ba8abfbc822c7d632fb03815594160ddba,c2acbbb79ec8357ca0d393a28610f2cdb71dcf46ee596daa5874ab73efe7a450,"{""anomaly_count"": 0, ""confidence"": 0.978278666197666, ""temperature"": 33.04089371736864, ""timestamp"": ""2026-09-03T00:00:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""increase_fan_speed"", ""consensus_timestamp"": ""2026-09-03T00:00:00+00:00"", ""duration"": 1, ""magnitude"": 0.1, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,1,32.65780381250127,32.585033270688314,-0.07277054181295739,26.0,0.7,0.6,0.7,increase_fan_speed,supervisor,True,,,0,0.9127246447929834,32.14223060903325,32.23023060903325,32.277157106903445,1,True,0,0.0002350546419620514,0.0001539662480354309,False,"[32.551380216720894, 32.75314568860354, 32.408355812696975, 32.32738672670781, 32.62437911970034, 32.69203061381599, 32.51587803685858, 32.667531733259686, 32.42302590014057]","[32.551380216720894, 32.75314568860354, 32.408355812696975, 32.32738672670781, 32.62437911970034, 32.69203061381599, 32.51587803685858, 32.667531733259686, 32.42302590014057]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",26e1c9124d2bac1c7337671dc03b02d84dbc118f6f2c1634a44c62b27d7dba27,9cfab94692f0a43376e2976edc0a08e59d46268dd4a4782f2bc86163ecec4914,"{""anomaly_count"": 0, ""confidence"": 0.9127246447929834, ""temperature"": 32.585033270688314, ""timestamp"": ""2026-09-03T00:01:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""increase_fan_speed"", ""consensus_timestamp"": ""2026-09-03T00:01:00+00:00"", ""duration"": 1, ""magnitude"": 0.1, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,2,32.277157106903445,32.293588899704005,0.016431792800560174,26.0,0.7,0.7,0.7999999999999999,increase_fan_speed,supervisor,True,,,0,0.8914841311915586,31.786101787727688,31.87410178772769,31.85479336925896,1,True,0,0.0002237977460026741,0.00014588702470064163,False,"[32.427202183246145, 32.09931135594328, 32.25749051449944, 31.890225393948544, 32.38920338191766, 32.20633629016477, 32.491995781654346, 32.27758602905984, 32.49845410625078]","[32.427202183246145, 32.09931135594328, 32.25749051449944, 31.890225393948544, 32.38920338191766, 32.20633629016477, 32.491995781654346, 32.27758602905984, 32.49845410625078]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",f572e5ee5fc75cc3a95ba5f01b3d43eef95c571b8af7d3cb92822abf03d78226,acfc44b92b61eca57a1c056e283ba66122882c6a66a93d9076372f3fac4f67d9,"{""anomaly_count"": 0, ""confidence"": 0.8914841311915586, ""temperature"": 32.293588899704005, ""timestamp"": ""2026-09-03T00:02:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""increase_fan_speed"", ""consensus_timestamp"": ""2026-09-03T00:02:00+00:00"", ""duration"": 1, ""magnitude"": 0.1, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,3,31.85479336925896,31.963236772322585,0.10844340306362454,26.0,0.7,0.7999999999999999,0.8999999999999999,increase_fan_speed,supervisor,True,,,0,0.8609797627986736,31.394177830536776,31.482177830536777,31.327999991247204,1,True,0,0.00020035728812217712,0.00013760942965745926,False,"[31.657145118675047, 32.08868735008124, 31.725890473601034, 32.24600774151315, 32.04801079463959, 31.97087290423113, 31.469950681151182, 32.00362098063659, 31.897450338548502]","[31.657145118675047, 32.08868735008124, 31.725890473601034, 32.24600774151315, 32.04801079463959, 31.97087290423113, 31.469950681151182, 32.00362098063659, 31.897450338548502]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",d112f17dbba9de513f244cf4ef400c6ea362775621f7b13fa8118c71c34126c8,2f5142664a11f65068b5dd6510d2a0b675662fbdca2993bb056cd5805804bcf1,"{""anomaly_count"": 0, ""confidence"": 0.8609797627986736, ""temperature"": 31.963236772322585, ""timestamp"": ""2026-09-03T00:03:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""increase_fan_speed"", ""consensus_timestamp"": ""2026-09-03T00:03:00+00:00"", ""duration"": 1, ""magnitude"": 0.1, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,4,31.327999991247204,31.4280488617185,0.10004887047129785,26.0,0.7,0.8999999999999999,0.9999999999999999,increase_fan_speed,supervisor,True,,,0,0.837549450341567,30.813804952781023,30.90180495278102,30.789984407743784,1,True,0,0.00018942449241876602,0.00013259891420602798,False,"[31.239515425014627, 31.282522216069964, 31.367487345939427, 31.44558741111801, 31.41421169258239, 31.421115061094525, 31.51469149238148, 31.004408515633745, 31.429473951254455]","[31.239515425014627, 31.282522216069964, 31.367487345939427, 31.44558741111801, 31.41421169258239, 31.421115061094525, 31.51469149238148, 31.004408515633745, 31.429473951254455]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",ac2009d25aa599547b1c9c40db212ecb017d341f51356971831af46093dd0c9f,66e4f0e6bb11fdd8019a559a975067856dae74a68de43d948b319028da958dfb,"{""anomaly_count"": 0, ""confidence"": 0.837549450341567, ""temperature"": 31.4280488617185, ""timestamp"": ""2026-09-03T00:04:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""increase_fan_speed"", ""consensus_timestamp"": ""2026-09-03T00:04:00+00:00"", ""duration"": 1, ""magnitude"": 0.1, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,5,30.789984407743784,30.791515079112962,0.0015306713691778384,26.0,0.7,0.9999999999999999,0.9999999999999999,maintain,supervisor,True,,,0,0.8229213126038731,30.228193872783926,30.228193872783926,30.272314674196977,1,True,0,0.00019594840705394745,0.00014051515609025955,False,"[30.767643291061702, 31.090178411660858, 30.787439860261944, 30.710765483972164, 30.81517571111161, 30.815491926336666, 30.92882485867898, 30.82385172743273, 30.806554946792968]","[30.767643291061702, 31.090178411660858, 30.787439860261944, 30.710765483972164, 30.81517571111161, 30.815491926336666, 30.92882485867898, 30.82385172743273, 30.806554946792968]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",665784d7db6e14ca7ed4a8a41807ef3e8b9cd9efd6b41c2298417eb0e180f493,1bea7026cca1b013758fa337124d6304ffbe2f4cce579186eb940df2ab544b0f,"{""anomaly_count"": 0, ""confidence"": 0.8229213126038731, ""temperature"": 30.791515079112962, ""timestamp"": ""2026-09-03T00:05:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""maintain"", ""consensus_timestamp"": ""2026-09-03T00:05:00+00:00"", ""duration"": 1, ""magnitude"": 0.0, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,6,30.272314674196977,30.19466816973263,-0.07764650446434729,26.0,0.7,0.9999999999999999,0.9999999999999999,maintain,supervisor,True,,,0,0.7934033822532496,29.67909471615402,29.67909471615402,29.86416932705631,1,True,0,0.0001922333613038063,0.0001308852806687355,False,"[30.177151883789094, 30.60154012573096, 30.158599829445578, 30.160677721700694, 30.411150930566688, 30.128067255051683, 30.300860900669054, 30.16278470960435, 30.317480383363197]","[30.177151883789094, 30.60154012573096, 30.158599829445578, 30.160677721700694, 30.411150930566688, 30.128067255051683, 30.300860900669054, 30.16278470960435, 30.317480383363197]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",0d06a8d395c01dfea30e773ba1de7bf5bc3e338f20b8f2370fd3d917a2932ffd,1d1dd15fd79d8afa5697c8944097890d6786685a60000aba7306222bf1fe0d2d,"{""anomaly_count"": 0, ""confidence"": 0.7934033822532496, ""temperature"": 30.19466816973263, ""timestamp"": ""2026-09-03T00:06:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""maintain"", ""consensus_timestamp"": ""2026-09-03T00:06:00+00:00"", ""duration"": 1, ""magnitude"": 0.0, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,7,29.86416932705631,29.89822274603609,0.03405341897978076,26.0,0.7,0.9999999999999999,0.9999999999999999,maintain,supervisor,True,,,0,0.7966220687960492,29.406364926353202,29.406364926353202,29.459822114729615,1,True,0,0.00019150786101818085,0.00013931840658187866,False,"[30.017354304456376, 29.924600329432852, 29.59948126584222, 29.740219404592832, 29.867200206703487, 30.302333752822854, 29.868613789592757, 30.136096684291914, 29.845559272052075]","[30.017354304456376, 29.924600329432852, 29.59948126584222, 29.740219404592832, 29.867200206703487, 30.302333752822854, 29.868613789592757, 30.136096684291914, 29.845559272052075]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",ffb902fcd1b19742e2a529e928f6beaec1af0c2b3c76d81823ef5f42a6bb670a,14bdc05b3493424bb3879c3781110c8b6bdd9cdb15d4538b66906810e828389e,"{""anomaly_count"": 0, ""confidence"": 0.7966220687960492, ""temperature"": 29.89822274603609, ""timestamp"": ""2026-09-03T00:07:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""maintain"", ""consensus_timestamp"": ""2026-09-03T00:07:00+00:00"", ""duration"": 1, ""magnitude"": 0.0, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,8,29.459822114729615,29.37136787501676,-0.08845423971285626,26.0,0.7,0.9999999999999999,0.9999999999999999,maintain,supervisor,True,,,0,0.7897676013218372,28.921658445015417,28.921658445015417,29.06438651254163,1,True,0,0.00018088612705469131,0.00013022404164075851,False,"[29.2892413362844, 29.561221926850664, 29.43885126569005, 29.125807998638674, 29.416197155909042, 29.488691823384173, 29.31326509118871, 29.32382035552493, 29.692837031077044]","[29.2892413362844, 29.561221926850664, 29.43885126569005, 29.125807998638674, 29.416197155909042, 29.488691823384173, 29.31326509118871, 29.32382035552493, 29.692837031077044]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",c5fbb907402c444757add63c9d4f9c7e45abb21f16bce8ca0d95b30bb5437e19,3fa5b7bb0407913bfc9516584cad9c07c0a6ba860dc12d46f832111b8b3a7d89,"{""anomaly_count"": 0, ""confidence"": 0.7897676013218372, ""temperature"": 29.37136787501676, ""timestamp"": ""2026-09-03T00:08:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""maintain"", ""consensus_timestamp"": ""2026-09-03T00:08:00+00:00"", ""duration"": 1, ""magnitude"": 0.0, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
11,0,nominal,none,fpr_crp,9,29.06438651254163,29.173975858393643,0.10958934585201163,26.0,0.7,0.9999999999999999,0.9999999999999999,maintain,supervisor,True,,,0,0.7955676853958686,28.74005778972215,28.74005778972215,28.73268205721745,1,True,0,0.00017848238348960876,0.00014138594269752502,False,"[29.314965300998683, 29.4121356156692, 29.04800216803679, 29.247504691697507, 28.78057776682901, 28.670777164239386, 29.000754805157566, 29.196310643384027, 29.240118560900473]","[29.314965300998683, 29.4121356156692, 29.04800216803679, 29.247504691697507, 28.78057776682901, 28.670777164239386, 29.000754805157566, 29.196310643384027, 29.240118560900473]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false]",bb7579b968676c7f127f29598c32e4086b69aa9059d41f777a1019aa68752eac,bfcba03ef00029c40e2cedbda451243ddc5f5ccf845b03c3ecfc2ed8fb1fc2c5,"{""anomaly_count"": 0, ""confidence"": 0.7955676853958686, ""temperature"": 29.173975858393643, ""timestamp"": ""2026-09-03T00:09:00+00:00"", ""zone"": ""zone-0""}","{""action_type"": ""maintain"", ""consensus_timestamp"": ""2026-09-03T00:09:00+00:00"", ""duration"": 1, ""magnitude"": 0.0, ""reasoning_summary"": ""Frozen bidirectional thermal pilot controller"", ""target_zone"": ""zone-0"", ""used_consensus"": true}"
