attack,intensity,condition,ticks,mean_confidence,min_confidence,anomaly_ticks,crp_rounds,crp_nonconverged,crp_excluded_sum,rejections,rejection_reasons
bias,high,fpr_crp,720,0.8094146408694541,0.3514063749207086,6,733,170,29,0,
bias,high,mean,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
bias,high,oracle,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
bias,low,fpr_crp,720,0.921622918516285,0.7720960547151144,0,720,0,0,0,
bias,low,mean,720,0.9763888888888891,0.6666666666666667,110,0,0,0,0,
bias,low,oracle,720,0.9763888888888891,0.6666666666666667,110,0,0,0,0,
drift,high,fpr_crp,720,0.8769412937291484,0.3420204086345884,0,721,71,1,3,low_confidence
drift,high,mean,720,0.954320987654321,0.6666666666666667,107,0,0,0,0,
drift,high,oracle,720,0.954320987654321,0.6666666666666667,107,0,0,0,0,
drift,low,fpr_crp,720,0.9287843839777778,0.7809488366690438,0,720,0,0,0,
drift,low,mean,720,0.9893518518518518,0.6666666666666667,34,0,0,0,0,
drift,low,oracle,720,0.9893518518518518,0.6666666666666667,34,0,0,0,0,
freeze,high,fpr_crp,720,0.9422273696847926,0.8851389564678814,0,720,0,0,0,
freeze,high,mean,720,1.0,1.0,0,0,0,0,0,
freeze,high,oracle,720,1.0,1.0,0,0,0,0,0,
freeze,low,fpr_crp,720,0.9438066308787887,0.8600810548033443,0,720,0,0,0,
freeze,low,mean,720,1.0,1.0,0,0,0,0,0,
freeze,low,oracle,720,1.0,1.0,0,0,0,0,0,
nominal,none,fpr_crp,720,0.943612416316285,0.8864127724238725,0,720,0,0,0,
nominal,none,mean,720,1.0,1.0,0,0,0,0,0,
nominal,none,oracle,720,1.0,1.0,0,0,0,0,0,
replay,high,fpr_crp,720,0.9388009357178295,0.85960498688731,0,720,0,0,0,
replay,high,mean,720,0.9962962962962963,0.6666666666666667,14,0,0,0,0,
replay,high,oracle,720,1.0,1.0,0,0,0,0,0,
replay,low,fpr_crp,720,0.9384697907934259,0.8467518768876886,0,720,0,0,0,
replay,low,mean,720,0.9993827160493828,0.8888888888888888,4,0,0,0,0,
replay,low,oracle,720,0.9992283950617283,0.8888888888888888,5,0,0,0,0,
scaling,high,fpr_crp,720,0.8100247842057374,0.3563286078959813,3,731,171,25,0,
scaling,high,mean,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
scaling,high,oracle,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
scaling,low,fpr_crp,720,0.9225277423424777,0.7825797303873079,0,720,0,0,0,
scaling,low,mean,720,0.9813271604938271,0.6666666666666667,87,0,0,0,0,
scaling,low,oracle,720,0.9788580246913581,0.6666666666666667,100,0,0,0,0,
spike,high,fpr_crp,720,0.9382682340984463,0.8455497707947824,174,900,0,540,0,
spike,high,mean,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
spike,high,oracle,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
spike,low,fpr_crp,720,0.9444802763508527,0.8807303094478826,174,900,0,540,0,
spike,low,mean,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
spike,low,oracle,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
stuck,high,fpr_crp,720,0.8036525497482083,0.32709254966816,6,732,168,36,36,low_confidence
stuck,high,mean,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
stuck,high,oracle,720,0.9166666666666665,0.6666666666666667,180,0,0,0,0,
stuck,low,fpr_crp,720,0.893246558257422,0.3888509218938622,0,720,47,0,0,
stuck,low,mean,720,0.9180555555555555,0.6666666666666667,177,0,0,0,0,
stuck,low,oracle,720,0.9393518518518519,0.6666666666666667,131,0,0,0,0,
