seed,scenario_index,attack,intensity,condition,effective_start,effective_end_exclusive,effective_ticks,alarm_in_effective_window,alarm_ticks_effective,alarm_ticks_pre_attack,alarm_ticks_transition_interval_60_119
101,0,nominal,none,fpr_crp,,,0,False,0,0,0
101,0,nominal,none,mean,,,0,False,0,0,0
101,0,nominal,none,oracle,,,0,False,0,0,0
101,1,bias,low,fpr_crp,84.0,144.0,60,False,0,0,0
101,1,bias,low,mean,84.0,144.0,60,True,35,0,19
101,1,bias,low,oracle,84.0,144.0,60,True,35,0,19
101,2,bias,high,fpr_crp,84.0,144.0,60,True,2,0,2
101,2,bias,high,mean,84.0,144.0,60,True,60,0,36
101,2,bias,high,oracle,84.0,144.0,60,True,60,0,36
101,3,drift,low,fpr_crp,84.0,144.0,60,False,0,0,0
101,3,drift,low,mean,84.0,144.0,60,True,13,0,0
101,3,drift,low,oracle,84.0,144.0,60,True,13,0,0
101,4,drift,high,fpr_crp,84.0,144.0,60,False,0,0,0
101,4,drift,high,mean,84.0,144.0,60,True,36,0,12
101,4,drift,high,oracle,84.0,144.0,60,True,36,0,12
101,5,replay,low,fpr_crp,84.0,144.0,60,False,0,0,0
101,5,replay,low,mean,84.0,144.0,60,True,1,0,1
101,5,replay,low,oracle,84.0,144.0,60,True,1,0,0
101,6,replay,high,fpr_crp,84.0,144.0,60,False,0,0,0
101,6,replay,high,mean,84.0,144.0,60,True,2,0,0
101,6,replay,high,oracle,84.0,144.0,60,False,0,0,0
101,7,freeze,low,fpr_crp,84.0,104.0,20,False,0,0,0
101,7,freeze,low,mean,84.0,104.0,20,False,0,0,0
101,7,freeze,low,oracle,84.0,104.0,20,False,0,0,0
101,8,freeze,high,fpr_crp,84.0,144.0,60,False,0,0,0
101,8,freeze,high,mean,84.0,144.0,60,False,0,0,0
101,8,freeze,high,oracle,84.0,144.0,60,False,0,0,0
101,9,spike,low,fpr_crp,84.0,144.0,60,True,58,0,34
101,9,spike,low,mean,84.0,144.0,60,True,60,0,36
101,9,spike,low,oracle,84.0,144.0,60,True,60,0,36
101,10,spike,high,fpr_crp,84.0,144.0,60,True,58,0,34
101,10,spike,high,mean,84.0,144.0,60,True,60,0,36
101,10,spike,high,oracle,84.0,144.0,60,True,60,0,36
101,11,scaling,low,fpr_crp,84.0,144.0,60,False,0,0,0
101,11,scaling,low,mean,84.0,144.0,60,True,31,0,22
101,11,scaling,low,oracle,84.0,144.0,60,True,35,0,23
101,12,scaling,high,fpr_crp,84.0,144.0,60,True,2,0,2
101,12,scaling,high,mean,84.0,144.0,60,True,60,0,36
101,12,scaling,high,oracle,84.0,144.0,60,True,60,0,36
101,13,stuck,low,fpr_crp,84.0,144.0,60,False,0,0,0
101,13,stuck,low,mean,84.0,144.0,60,True,57,0,36
101,13,stuck,low,oracle,84.0,144.0,60,True,42,0,29
101,14,stuck,high,fpr_crp,84.0,144.0,60,True,2,0,2
101,14,stuck,high,mean,84.0,144.0,60,True,60,0,36
101,14,stuck,high,oracle,84.0,144.0,60,True,60,0,36
