seed,scenario_index,attack,intensity,condition,min_true_c,max_true_c,min_margin_to_sla_c,target_return_min,effective_attack_end_exclusive
101,0,nominal,none,fpr_crp,28.854351582801776,30.694007025611405,1.3059929743885945,0.0,
101,0,nominal,none,mean,28.82070809416033,30.540407025611405,1.4595929743885954,0.0,
101,0,nominal,none,oracle,29.18249405364314,30.540407025611405,1.4595929743885954,0.0,
101,1,bias,low,fpr_crp,28.764872814637787,30.530196052194896,1.4698039478051044,13.0,144.0
101,1,bias,low,mean,28.211518540480384,30.52778515475657,1.4722148452434283,7.0,144.0
101,1,bias,low,oracle,28.78040756955232,30.49764709466859,1.50235290533141,0.0,144.0
101,2,bias,high,fpr_crp,28.384134141029417,30.677505113322,1.322494886678001,0.0,144.0
101,2,bias,high,mean,27.86502602281202,30.56392569895483,1.4360743010451706,7.0,144.0
101,2,bias,high,oracle,29.16512414970852,30.577135089796343,1.422864910203657,0.0,144.0
101,3,drift,low,fpr_crp,28.74929129927007,30.67822037985486,1.32177962014514,0.0,144.0
101,3,drift,low,mean,28.049553127378253,30.52462037985486,1.4753796201451408,0.0,144.0
101,3,drift,low,oracle,28.761949088997905,30.481355450702026,1.5186445492979743,0.0,144.0
101,4,drift,high,fpr_crp,28.896749157768223,30.51025216766158,1.48974783233842,0.0,144.0
101,4,drift,high,mean,28.04274472646861,30.493499012137438,1.5065009878625624,12.0,144.0
101,4,drift,high,oracle,29.30891643625116,30.463603276665904,1.5363967233340965,0.0,144.0
101,5,replay,low,fpr_crp,28.78129049413429,30.57713173922754,1.4228682607724608,20.0,144.0
101,5,replay,low,mean,28.988402460488395,30.53187001450727,1.4681299854927303,2.0,144.0
101,5,replay,low,oracle,28.863189349287925,30.50647949152533,1.4935205084746705,0.0,144.0
101,6,replay,high,fpr_crp,28.755542174935965,30.512243219668942,1.4877567803310576,0.0,144.0
101,6,replay,high,mean,28.80154089659974,30.693563887094506,1.3064361129054944,21.0,144.0
101,6,replay,high,oracle,28.772521089418596,30.39263674286894,1.607363257131059,10.0,144.0
101,7,freeze,low,fpr_crp,29.10264572152081,30.41689796792832,1.5831020320716789,12.0,104.0
101,7,freeze,low,mean,28.291228276858707,30.468565947914698,1.5314340520853023,0.0,104.0
101,7,freeze,low,oracle,28.76114187984137,30.45907030991563,1.5409296900843685,0.0,104.0
