family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,mae,2.30536101452348,2.3050194391071575,-0.0003415754163227369,False
main_campaign,full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,rmse,2.471225572189445,2.470676837707655,-0.0005487344817902695,False
main_campaign,full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,mae,1.9995824487508471,1.9994116610426858,-0.00017078770816136846,True
main_campaign,full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,rmse,2.0956040140571544,2.0953473334671906,-0.00025668058996375365,True
main_campaign,full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,mae,1.9339695944024526,1.9339690216968959,-5.727055567561479e-07,False
main_campaign,full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,rmse,1.9961326502195806,1.9961318223206226,-8.278989580556839e-07,False
main_campaign,full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,max_absolute_error,2.8856628646521503,2.885525415318511,-0.00013744933363923906,False
main_campaign,full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,mae,2.26426460786899,2.2635003337269533,-0.000764274142036836,False
main_campaign,full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,rmse,2.4320440648265857,2.4308452714039386,-0.0011987934226471708,True
main_campaign,full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,p95_absolute_error,3.755877172272047,3.7353333601377625,-0.02054381213428469,True
main_campaign,full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,mae,1.9626610689217558,1.9622789318507372,-0.00038213707101864003,True
main_campaign,full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,rmse,2.0603340049340253,2.0597903107138804,-0.0005436942201448858,False
main_campaign,full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,mae,2.30536101452348,2.3050194391071575,-0.0003415754163227369,False
main_campaign,full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,rmse,2.471225572189445,2.470676837707655,-0.0005487344817902695,False
main_campaign,full_seed101_bias_0p4_noise0p1_s5_a0p3_b0p8,mae,1.9995824487508471,1.9994116610426858,-0.00017078770816136846,True
main_campaign,full_seed101_bias_0p4_noise0p1_s5_a0p3_b0p8,rmse,2.0956040140571544,2.0953473334671906,-0.00025668058996375365,True
main_campaign,full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,mae,2.26426460786899,2.2635003337269533,-0.000764274142036836,False
main_campaign,full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.4320440648265857,2.4308452714039386,-0.0011987934226471708,True
main_campaign,full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,p95_absolute_error,3.755877172272047,3.7353333601377625,-0.02054381213428469,True
main_campaign,full_seed101_bias_0p4_noise0p25_s5_a0p3_b0p8,mae,1.9626610689217558,1.9622789318507372,-0.00038213707101864003,True
main_campaign,full_seed101_bias_0p4_noise0p25_s5_a0p3_b0p8,rmse,2.0603340049340253,2.0597903107138804,-0.0005436942201448858,False
