artifact,cell_or_series,source_family,cases,display_precision,before,after,delta,before_display,after_display,changes_at_display_precision
tab_consensus_perf,FPR--OWA global; global; mae,main_campaign,1890,4,1.617131463152357,1.6173010980662217,0.00016963491386468021,1.6171,1.6173,True
tab_consensus_perf,FPR--OWA global; global; max_absolute_error,main_campaign,1890,4,2.8345366573489628,2.8346885897849843,0.00015193243602151796,2.8345,2.8347,True
tab_consensus_perf,FPR--OWA global; global; median_absolute_error,main_campaign,1890,4,1.5437288373124458,1.5438178152149162,8.897790247042181e-05,1.5437,1.5438,True
tab_consensus_perf,FPR--OWA global; global; p95_absolute_error,main_campaign,1890,4,2.4846694526211976,2.484878895110282,0.00020944248908438823,2.4847,2.4849,True
tab_consensus_perf,FPR--OWA global; global; rmse,main_campaign,1890,4,1.7070886685561222,1.7072910367974503,0.00020236824132813247,1.7071,1.7073,True
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=bias; mae,main_campaign,270,3,1.646757639924966,1.6467536555453197,-3.9843796462157854e-06,1.647,1.647,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=bias; max_absolute_error,main_campaign,270,3,2.872435457454163,2.8729022981624213,0.0004668407082584203,2.872,2.873,True
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=bias; median_absolute_error,main_campaign,270,3,1.5885628331722907,1.5885628331722907,0.0,1.589,1.589,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=bias; p95_absolute_error,main_campaign,270,3,2.5288978886411817,2.5287457122550014,-0.0001521763861802583,2.529,2.529,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=bias; rmse,main_campaign,270,3,1.734201170863617,1.7341954254767193,-5.745386897570981e-06,1.734,1.734,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=drift; mae,main_campaign,270,3,1.6532651599193728,1.6532715175874242,6.357668051348853e-06,1.653,1.653,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=drift; max_absolute_error,main_campaign,270,3,3.0247126598797496,3.0247126598797496,0.0,3.025,3.025,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=drift; median_absolute_error,main_campaign,270,3,1.5900560777030166,1.5900560777030166,0.0,1.590,1.590,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=drift; p95_absolute_error,main_campaign,270,3,2.530272850773962,2.530272850773962,0.0,2.530,2.530,False
fig_heatmap_attack_method,FPR--OWA by attack; attack_type=drift; rmse,main_campaign,270,3,1.7384033739642653,1.7384130238396396,9.649875374329042e-06,1.738,1.738,False
